name,year,selling_price,fuel,km_driven,seller_type,transmission,owner,seats,engine_value,max_power_value,mileage_value
Maruti Swift Dzire VXI 1.2 BS IV,2017,620000,Petrol,90000,Individual,Manual,First Owner,5,1197,81.80,22.00
Ford Figo 1.2P Sports Edition MT,2017,620000,Petrol,50000,Individual,Manual,First Owner,5,1196,86.80,18.12
Ford EcoSport 1.5 Petrol Trend BSIV,2017,604000,Petrol,30000,Individual,Manual,Second Owner,5,1497,121.36,17.00
Maruti Swift Dzire VDI,2017,620000,Diesel,61000,Individual,Manual,First Owner,5,1248,74.00,26.59
Maruti Baleno Zeta 1.3,2017,620000,Diesel,30000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Swift Dzire VDI,2017,620000,Diesel,107000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai Xcent 1.2 CRDi SX,2017,625000,Diesel,50000,Individual,Manual,First Owner,5,1186,73.97,25.40
Hyundai i20 2015-2017 Sportz 1.2,2017,625000,Petrol,23511,Individual,Manual,First Owner,5,1197,81.83,18.60
Maruti Swift VVT ZXI,2017,625000,Petrol,25000,Individual,Manual,First Owner,5,1197,81.80,22.00
Maruti Baleno Zeta 1.2,2017,625000,Petrol,15000,Individual,Manual,First Owner,5,1197,83.10,21.40
Maruti Swift Dzire VDI,2017,625000,Diesel,70000,Dealer,Manual,First Owner,5,1248,74.00,23.40
Maruti Ignis 1.3 AMT Zeta,2017,625000,Diesel,37000,Individual,Automatic,First Owner,5,1248,74.00,26.80
Maruti Baleno Sigma 1.3,2017,625000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Swift Dzire VDI,2017,625000,Diesel,43000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Swift Dzire VDI,2017,625000,Diesel,34000,Individual,Manual,Second Owner,5,1248,74.02,28.40
Hyundai i20 1.2 Asta Option,2017,630000,Petrol,30000,Individual,Manual,First Owner,5,1197,81.83,18.60
Hyundai i20 1.2 Asta Option,2017,630000,Petrol,25000,Individual,Manual,Second Owner,5,1197,81.83,18.60
Maruti Baleno Zeta 1.2,2017,630000,Petrol,35000,Individual,Manual,First Owner,5,1197,83.10,21.40
Mahindra Bolero Power Plus SLX,2017,620000,Diesel,100000,Individual,Manual,Second Owner,7,1493,70.00,16.50
Mahindra Bolero Power Plus SLE,2017,620000,Diesel,40000,Individual,Manual,First Owner,7,1493,70.00,16.50
Mahindra Bolero Power Plus SLE,2017,620000,Diesel,100000,Individual,Manual,First Owner,7,1493,70.00,16.50
Maruti Swift Dzire AMT VXI,2017,635000,Petrol,120000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Ford Figo Aspire 1.5 TDCi Sports Edition,2017,620000,Diesel,35000,Individual,Manual,First Owner,5,1498,99.00,24.29
Maruti Swift Dzire VDI,2017,635000,Diesel,40000,Individual,Manual,First Owner,5,1248,74.00,26.59
Hyundai i20 1.2 Spotz,2017,640000,Petrol,22512,Individual,Manual,First Owner,5,1197,81.83,18.60
Toyota Platinum Etios 1.4 GD,2017,632000,Diesel,150000,Individual,Manual,First Owner,5,1364,67.05,23.59
Toyota Etios VX,2017,625000,Petrol,25538,Trustmark Dealer,Manual,First Owner,5,1496,88.73,16.78
Ford EcoSport 1.5 TDCi Ambiente BSIV,2017,625000,Diesel,40000,Individual,Manual,Fourth & Above Owner,5,1498,98.59,22.77
Volkswagen Ameo 1.5 TDI Comfortline AT,2017,625000,Diesel,34000,Individual,Automatic,First Owner,5,1498,108.50,22.00
Maruti Swift ZDI BSIV,2017,640000,Diesel,35000,Individual,Manual,Second Owner,5,1248,74.00,25.20
Maruti Swift VDI BSIV,2017,640000,Diesel,110000,Individual,Manual,First Owner,5,1248,74.00,25.20
Hyundai i20 1.2 Spotz,2017,645000,Petrol,20000,Individual,Manual,First Owner,5,1197,81.83,18.60
Mahindra Bolero Power Plus Plus Non AC BSIV PS,2017,580000,Diesel,95000,Individual,Manual,First Owner,9,2523,63.00,15.96
Volkswagen Ameo 1.2 MPI Highline Plus 16,2017,650000,Petrol,18816,Dealer,Manual,First Owner,5,1198,73.75,17.00
Hyundai i20 Active 1.2 SX,2017,650000,Petrol,80000,Individual,Manual,Second Owner,5,1197,81.86,17.19
Hyundai i20 1.2 Asta Option,2017,650000,Petrol,8000,Individual,Manual,First Owner,5,1197,81.83,18.60
Hyundai i20 1.2 Asta Option,2017,650000,Petrol,40000,Individual,Manual,First Owner,5,1197,81.83,18.60
Hyundai i20 1.2 Spotz,2017,650000,Petrol,20000,Individual,Manual,First Owner,5,1197,81.83,18.60
Hyundai i20 1.2 Asta,2017,650000,Petrol,30000,Individual,Manual,First Owner,5,1197,81.83,18.60
Maruti Swift Dzire VXI 1.2 BS IV,2017,650000,Petrol,21000,Individual,Manual,First Owner,5,1197,81.80,22.00
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,650000,Petrol,5000,Individual,Manual,First Owner,5,1196,86.80,18.16
Maruti Swift Dzire ZXI,2017,650000,Petrol,70000,Individual,Manual,First Owner,5,1197,83.14,20.85
Honda Jazz 1.2 V i VTEC,2017,650000,Petrol,25000,Individual,Manual,First Owner,5,1199,88.70,18.70
Chevrolet Enjoy 1.3 TCDi LTZ 7,2017,650000,Diesel,40000,Individual,Manual,Second Owner,7,1248,73.74,18.20
Maruti Swift Dzire Vdi BSIV,2017,650000,Diesel,82050,Individual,Manual,First Owner,5,1248,73.90,19.30
Maruti Swift Dzire VDI,2017,650000,Diesel,25000,Individual,Manual,First Owner,5,1248,74.00,26.59
Maruti Swift Dzire VDI,2017,650000,Diesel,75000,Individual,Manual,First Owner,5,1248,74.00,26.59
Maruti Swift Dzire VDI,2017,650000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.00,26.59
Maruti Baleno Alpha 1.3,2017,650000,Diesel,35000,Individual,Manual,Second Owner,5,1248,74.00,27.39
Maruti Swift Dzire VDI,2017,650000,Diesel,20000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,2017,650000,Diesel,44000,Dealer,Manual,First Owner,5,1248,88.50,23.65
Maruti Vitara Brezza LDi,2017,650000,Diesel,16200,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza LDi Option,2017,650000,Diesel,70000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ciaz 1.3 Alpha,2017,650000,Diesel,78000,Individual,Manual,Third Owner,5,1248,88.50,28.09
Maruti Ciaz ZDi Plus SHVS,2017,650000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,28.09
Maruti Swift Dzire VDI,2017,651000,Diesel,32500,Individual,Manual,Second Owner,5,1248,74.02,28.40
Mahindra Bolero Power Plus ZLX,2017,640000,Diesel,90000,Individual,Manual,First Owner,7,1493,70.00,16.50
Maruti Swift Dzire ZDI Plus,2017,655000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.02,28.40
Toyota Etios 1.4 VXD,2017,650000,Diesel,120000,Individual,Manual,Second Owner,5,1364,67.04,23.59
Tata Sumo Gold CX BSIII,2017,570000,Diesel,51000,Individual,Manual,First Owner,7,2956,69.01,14.07
Maruti Ertiga VXI Limited Edition,2017,650000,Petrol,70000,Individual,Manual,Second Owner,7,1373,91.10,17.50
Hyundai i20 Active 1.4 SX,2017,650000,Diesel,80000,Individual,Manual,First Owner,5,1396,88.73,21.19
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,650000,Diesel,22200,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai i20 1.4 Sportz,2017,650000,Diesel,32331,Individual,Manual,Second Owner,5,1396,88.73,22.54
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,650000,Diesel,60000,Individual,Manual,First Owner,5,1396,88.73,22.54
Mahindra TUV 300 T6 Plus,2017,645000,Diesel,60000,Individual,Manual,First Owner,7,1493,100.00,18.49
Maruti Swift VDI Optional,2017,660000,Diesel,30000,Individual,Manual,First Owner,5,1248,74.00,25.20
Maruti Swift VDI Optional,2017,660000,Diesel,56000,Individual,Manual,First Owner,5,1248,74.00,25.20
Renault Duster 85PS Diesel RxE,2017,650000,Diesel,120000,Individual,Manual,First Owner,5,1461,83.80,19.87
Mahindra Bolero Power Plus SLE,2017,650000,Diesel,120000,Individual,Manual,First Owner,7,1493,70.00,16.50
Mahindra NuvoSport N8 AMT,2017,650000,Diesel,60000,Individual,Automatic,First Owner,7,1493,100.00,17.45
Hyundai i20 2015-2017 Sportz 1.2,2017,666000,Petrol,13000,Individual,Manual,First Owner,5,1197,81.83,18.60
Honda Amaze SX i-DTEC,2017,650000,Diesel,50000,Individual,Manual,First Owner,5,1498,98.60,25.80
Honda City i DTec SV,2017,650000,Diesel,47000,Individual,Manual,Second Owner,5,1498,98.60,26.00
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2017,650000,Diesel,49060,Individual,Manual,First Owner,5,1498,108.50,22.00
Mahindra TUV 300 T8,2017,655000,Diesel,126000,Individual,Manual,First Owner,7,1493,100.00,18.49
Maruti Swift Dzire VDI,2017,669000,Diesel,60000,Individual,Manual,First Owner,5,1248,74.02,28.40
Volkswagen Ameo 1.5 TDI Comfortline AT,2017,655000,Diesel,50000,Individual,Automatic,First Owner,5,1498,108.50,22.00
Maruti Baleno Delta 1.3,2017,670000,Diesel,36000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Vitara Brezza LDi Option,2017,670000,Diesel,70000,Individual,Manual,First Owner,5,1248,88.50,24.30
Mahindra Bolero Power Plus SLE,2017,660000,Diesel,45000,Individual,Manual,First Owner,7,1493,70.00,16.50
Mahindra Bolero Power Plus LX,2017,660000,Diesel,80000,Individual,Manual,First Owner,7,1493,70.00,16.50
Mahindra Bolero Power Plus ZLX,2017,660000,Diesel,60000,Individual,Manual,Second Owner,7,1493,70.00,16.50
Hyundai i20 2015-2017 Sportz 1.2,2017,675000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.83,18.60
Honda WR-V i-VTEC VX,2017,675000,Petrol,25000,Individual,Manual,Second Owner,5,1199,88.70,17.50
Mahindra TUV 300 T4 Plus,2017,660000,Diesel,82000,Individual,Manual,First Owner,7,1493,100.00,18.49
Mahindra TUV 300 mHAWK100 T8,2017,660000,Diesel,67000,Individual,Manual,Second Owner,7,1493,100.00,18.49
Mahindra TUV 300 T8 AMT,2017,660000,Diesel,50000,Individual,Automatic,First Owner,7,1493,100.00,18.49
Chevrolet Enjoy 1.3 TCDi LTZ 7,2017,675000,Diesel,50000,Individual,Manual,Second Owner,7,1248,73.74,18.20
Maruti Swift Dzire VDI Optional,2017,675000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.00,26.59
Tata Safari DICOR 2.2 EX 4x2,2017,625000,Diesel,72000,Individual,Manual,First Owner,7,2179,138.03,13.93
Hyundai i20 1.4 Asta Option,2017,670000,Diesel,48000,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai i20 1.4 Sportz,2017,670000,Diesel,80000,Individual,Manual,First Owner,5,1396,88.73,22.54
Tata Nexon 1.5 Revotorq XE,2017,665000,Diesel,25000,Individual,Manual,First Owner,5,1497,108.50,21.50
Maruti Baleno Alpha 1.3,2017,680000,Diesel,71000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Swift Dzire VDI,2017,680000,Diesel,40000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai i20 1.4 CRDi Magna,2017,675000,Diesel,25471,Dealer,Manual,First Owner,5,1396,90.00,21.90
Ford Figo Aspire 1.5 TDCi Titanium,2017,670000,Diesel,70000,Individual,Manual,First Owner,5,1498,99.00,25.83
Honda Jazz 1.5 S i DTEC,2017,670000,Diesel,50000,Individual,Manual,First Owner,5,1498,98.60,27.30
Hyundai i20 1.2 Asta Option,2017,690000,Petrol,20000,Individual,Manual,First Owner,5,1197,81.83,18.60
Mahindra KUV 100 D75 K8 Dual Tone,2017,690000,Diesel,40000,Individual,Manual,First Owner,6,1198,77.00,25.32
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,680000,Diesel,80000,Individual,Manual,First Owner,5,1396,88.73,22.54
Honda WR-V i-DTEC S,2017,675000,Diesel,127991,Dealer,Manual,First Owner,5,1498,98.60,25.50
Honda City 1.5 S MT,2017,675000,Petrol,49523,Dealer,Manual,First Owner,5,1497,118.00,17.00
Mahindra Bolero Power Plus ZLX,2017,680000,Diesel,90000,Individual,Manual,First Owner,7,1493,70.00,16.50
Maruti Swift VDI Optional,2017,693000,Diesel,58559,Dealer,Manual,First Owner,5,1248,74.00,25.20
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,Petrol,13500,Individual,Manual,First Owner,5,1497,121.36,17.00
Maruti Swift Dzire ZDI,2017,695000,Diesel,50000,Individual,Manual,First Owner,5,1248,74.00,26.59
Hyundai i20 1.2 Asta Option,2017,700000,Petrol,30000,Individual,Manual,First Owner,5,1197,81.83,18.60
Maruti Swift Dzire AMT VXI,2017,700000,Petrol,15000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Swift Dzire ZXI Plus BS IV,2017,700000,Petrol,80000,Dealer,Manual,First Owner,5,1197,81.80,22.00
Honda WR-V i-VTEC S,2017,700000,Petrol,15000,Individual,Manual,First Owner,5,1199,88.70,17.50
Maruti Swift Dzire VDI,2017,699000,Diesel,60000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Swift Dzire VDI,2017,700000,Diesel,65000,Individual,Manual,First Owner,5,1248,74.00,26.59
Maruti Swift Dzire VDI,2017,700000,Diesel,50000,Individual,Manual,Second Owner,5,1248,74.02,28.40
Maruti Swift Dzire ZDI,2017,700000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Swift Dzire AMT ZDI,2017,700000,Diesel,80000,Individual,Automatic,First Owner,5,1248,74.02,28.40
Maruti Vitara Brezza LDi Option,2017,700000,Diesel,90000,Individual,Manual,First Owner,5,1248,88.50,24.30
Renault Lodgy 85PS RxE 7 Seater,2017,690000,Diesel,65000,Individual,Manual,Second Owner,7,1461,83.80,21.04
Mahindra Bolero Power Plus SLX,2017,690000,Diesel,60000,Individual,Manual,First Owner,7,1493,70.00,16.50
Renault Lodgy 85PS RxE 7 Seater,2017,695000,Diesel,65000,Individual,Manual,Second Owner,7,1461,83.80,21.04
Renault Lodgy 85PS RxL,2017,695000,Diesel,34000,Dealer,Manual,First Owner,8,1461,83.80,21.04
Maruti Ertiga BSIV VXI,2017,700000,Petrol,227000,Individual,Manual,First Owner,7,1373,91.10,17.50
Maruti Ertiga BSIV VXI,2017,700000,Petrol,35000,Individual,Manual,First Owner,7,1373,91.10,17.50
Hyundai i20 1.4 Sportz,2017,700000,Diesel,40000,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai i20 1.4 Asta Option,2017,700000,Diesel,70000,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai Verna 1.4 CRDi,2017,700000,Diesel,82000,Individual,Manual,First Owner,5,1396,88.70,24.80
Maruti Vitara Brezza LDi Option,2017,710000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ertiga SHVS VDI,2017,710000,Diesel,50000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti Swift Dzire VDI,2017,711000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Vitara Brezza LDi Option,2017,711000,Diesel,53000,Individual,Manual,First Owner,5,1248,88.50,24.30
Mahindra TUV 300 T6 Plus,2017,700000,Diesel,54188,Individual,Manual,First Owner,7,1493,100.00,18.49
Mahindra TUV 300 T8,2017,700000,Diesel,40000,Individual,Manual,First Owner,7,1493,100.00,18.49
Mahindra TUV 300 T4 Plus,2017,700000,Diesel,38000,Individual,Manual,First Owner,7,1493,100.00,18.49
Mahindra TUV 300 mHAWK100 T8,2017,700000,Diesel,60000,Individual,Manual,First Owner,7,1493,100.00,18.49
Ford EcoSport 1.5 TDCi Trend Plus BSIV,2017,700000,Diesel,60000,Individual,Manual,First Owner,5,1498,98.59,22.77
Mahindra Bolero Power Plus Plus AC BSIV PS,2017,650000,Diesel,110000,Individual,Manual,First Owner,9,2523,63.00,15.96
Honda WR-V i-DTEC S,2017,700000,Diesel,70000,Individual,Manual,First Owner,5,1498,98.60,25.50
Ford Figo Aspire 1.5 TDCi Trend,2017,700000,Diesel,35000,Individual,Manual,First Owner,5,1498,99.00,25.83
Ford Figo Aspire 1.5 TDCi Titanium,2017,700000,Diesel,70000,Individual,Manual,First Owner,5,1498,99.00,25.83
Ford Figo Aspire 1.5 TDCi Titanium,2017,700000,Diesel,49957,Dealer,Manual,First Owner,5,1498,99.00,25.83
Volkswagen Ameo 1.5 TDI Comfortline,2017,700000,Diesel,40906,Dealer,Manual,First Owner,5,1498,108.62,21.66
Honda BR-V i-VTEC S MT,2017,700000,Petrol,43000,Dealer,Manual,First Owner,7,1497,117.30,15.40
Honda WR-V i-VTEC VX,2017,720000,Petrol,30000,Individual,Manual,First Owner,5,1199,88.70,17.50
Maruti Ertiga SHVS VDI,2017,720000,Diesel,80000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti Ciaz 1.3 Alpha,2017,720000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,28.09
Maruti Swift Dzire AMT ZXI,2017,725000,Petrol,35000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Honda Jazz V CVT,2017,725000,Petrol,6550,Individual,Automatic,First Owner,5,1199,88.70,18.20
Hyundai i20 Active 1.4 SX with AVN,2017,715000,Diesel,60000,Individual,Manual,First Owner,5,1396,88.73,21.19
Mahindra TUV 300 T8,2017,710000,Diesel,120000,Individual,Manual,First Owner,7,1493,100.00,18.49
Maruti Swift Dzire ZDI Plus,2017,725000,Diesel,60000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Vitara Brezza ZDi,2017,725000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi Option,2017,725000,Diesel,50000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ertiga VDI,2017,725000,Diesel,76000,Dealer,Manual,First Owner,7,1248,88.50,25.47
Hyundai i20 1.2 Asta,2017,730000,Petrol,37333,Individual,Manual,First Owner,5,1197,81.83,18.60
Hyundai i20 1.4 Asta Option,2017,725000,Diesel,110000,Individual,Manual,First Owner,5,1396,88.73,22.54
Maruti Baleno Alpha 1.3,2017,735000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.00,27.39
Mahindra TUV 300 mHAWK100 T8,2017,725000,Diesel,100000,Individual,Manual,Second Owner,7,1493,100.00,18.49
Mahindra TUV 300 mHAWK100 T8,2017,725000,Diesel,40000,Dealer,Manual,First Owner,7,1493,100.00,18.49
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,725000,Diesel,45000,Individual,Manual,First Owner,5,1498,98.96,23.00
Mahindra Bolero 2011-2019 EX AC,2017,675000,Diesel,70000,Individual,Manual,Second Owner,7,2523,62.10,15.96
Ford Aspire Titanium Diesel BSIV,2017,725000,Diesel,75000,Dealer,Manual,First Owner,5,1498,99.23,26.10
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,731000,Diesel,40000,Individual,Manual,First Owner,5,1396,88.73,22.54
Maruti Baleno Alpha 1.3,2017,740000,Diesel,24400,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Swift Dzire VDI,2017,740000,Diesel,40000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Baleno Zeta Automatic,2017,745000,Petrol,10000,Individual,Automatic,First Owner,5,1197,83.10,21.40
Maruti Swift Dzire VDI,2017,745000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.02,28.40
Mahindra Bolero Power Plus SLE,2017,735000,Diesel,70000,Individual,Manual,First Owner,7,1493,70.00,16.50
Maruti Baleno Alpha CVT,2017,750000,Petrol,51000,Dealer,Automatic,First Owner,5,1197,81.80,19.56
Mahindra TUV 300 T8,2017,735000,Diesel,70000,Individual,Manual,First Owner,7,1493,100.00,18.49
Maruti Swift Dzire AMT VDI,2017,750000,Diesel,19000,Individual,Automatic,First Owner,5,1248,74.02,28.40
Maruti Swift Dzire ZDI,2017,750000,Diesel,110000,Individual,Manual,Second Owner,5,1248,74.02,28.40
Maruti Swift Dzire VDI,2017,750000,Diesel,30000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Vitara Brezza VDi,2017,750000,Diesel,40000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi,2017,750000,Diesel,51777,Dealer,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza ZDi,2017,750000,Diesel,90000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ertiga SHVS ZDI Plus,2017,750000,Diesel,50000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti Ertiga SHVS ZDI Plus,2017,750000,Diesel,100000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,2017,750000,Diesel,52289,Dealer,Manual,First Owner,5,1248,88.50,25.10
Maruti Ciaz ZDi Plus SHVS,2017,750000,Diesel,53000,Individual,Manual,First Owner,5,1248,88.50,28.09
Maruti Ciaz VDI SHVS,2017,750000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,28.09
Maruti Baleno Zeta Diesel,2017,752000,Diesel,28000,Dealer,Manual,First Owner,5,1248,74.00,27.39
Maruti Swift Dzire ZDI,2017,754000,Diesel,40000,Individual,Manual,First Owner,5,1248,74.02,28.40
Maruti Swift Dzire VDI,2017,755000,Diesel,20000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,750000,Diesel,40000,Individual,Manual,Second Owner,5,1396,88.73,22.54
Hyundai i20 1.4 Asta Dual Tone,2017,750000,Diesel,27000,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai i20 1.4 Asta,2017,750000,Diesel,43000,Dealer,Manual,First Owner,5,1396,88.73,22.54
Maruti Vitara Brezza VDi Option,2017,760000,Diesel,50000,Individual,Manual,First Owner,5,1248,88.50,24.30
Renault Duster 85PS Diesel RxL,2017,750000,Diesel,48406,Dealer,Manual,First Owner,5,1461,83.80,19.87
Renault Duster RXZ 110PS AMT BSIV,2017,750000,Diesel,20171,Dealer,Automatic,First Owner,5,1461,108.50,19.87
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,750000,Diesel,60000,Individual,Manual,First Owner,7,1493,100.00,18.49
Mahindra TUV 300 T6 Plus,2017,750000,Diesel,60000,Individual,Manual,First Owner,7,1493,100.00,18.49
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2017,750000,Diesel,37000,Individual,Manual,First Owner,5,1498,98.96,23.00
Mahindra Bolero 2011-2019 SLX,2017,700000,Diesel,70000,Individual,Manual,First Owner,7,2523,62.10,15.96
Mahindra Bolero 2011-2019 DI - AC BS III,2017,700000,Diesel,70000,Individual,Manual,First Owner,9,2523,63.00,15.96
Skoda Rapid 1.5 TDI Ambition Plus,2017,750000,Diesel,89000,Dealer,Manual,First Owner,5,1498,103.60,21.14
Volkswagen Vento 1.5 TDI Comfortline,2017,750000,Diesel,50000,Individual,Manual,First Owner,5,1498,108.60,22.27
Hyundai Verna 1.6 VTVT S,2017,750000,Petrol,39000,Individual,Manual,First Owner,5,1591,121.30,17.01
Hyundai Verna 1.6 CRDi SX,2017,750000,Diesel,40000,Individual,Manual,First Owner,5,1582,126.20,23.90
Maruti Ertiga BSIV VXI,2017,765000,Petrol,40000,Individual,Manual,First Owner,7,1373,91.10,17.50
Mahindra Bolero 2011-2019 SLX,2017,710000,Diesel,70000,Individual,Manual,First Owner,7,2523,62.10,15.96
Maruti Vitara Brezza VDi Option,2017,775000,Diesel,75000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,775000,Diesel,32000,Dealer,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi Option,2017,775000,Diesel,80000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi Option,2017,775000,Diesel,100000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi,2017,780000,Diesel,40000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ertiga SHVS ZDI,2017,780000,Diesel,66000,Individual,Manual,Second Owner,7,1248,88.50,24.52
Honda WR-V i-DTEC VX,2017,770000,Diesel,65000,Individual,Manual,Second Owner,5,1498,98.60,25.50
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,780000,Diesel,28000,Individual,Manual,First Owner,5,1396,88.73,22.54
Maruti Ertiga SHVS ZDI Plus,2017,795000,Diesel,120000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti Baleno Alpha 1.3,2017,800000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti Baleno Alpha 1.3,2017,800000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.00,27.39
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,800000,Diesel,60000,Individual,Manual,First Owner,5,1248,88.50,23.65
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,800000,Diesel,70000,Individual,Manual,Second Owner,5,1248,88.50,23.65
Maruti Vitara Brezza ZDi Plus,2017,800000,Diesel,52000,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza VDi Option,2017,800000,Diesel,51146,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Vitara Brezza ZDi,2017,800000,Diesel,15381,Individual,Manual,First Owner,5,1248,88.50,24.30
Maruti Ertiga SHVS ZDI,2017,800000,Diesel,100000,Individual,Manual,Second Owner,7,1248,88.50,24.52
Maruti Ertiga SHVS ZDI Plus,2017,800000,Diesel,70000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti Ertiga SHVS ZDI Plus,2017,800000,Diesel,55000,Individual,Manual,First Owner,7,1248,88.50,24.52
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2017,800000,Diesel,44500,Individual,Manual,First Owner,5,1248,88.50,25.10
Maruti Ciaz 1.3 Alpha,2017,800000,Diesel,37000,Individual,Manual,First Owner,5,1248,88.50,28.09
Maruti Ciaz 1.3 Alpha,2017,800000,Diesel,28050,Dealer,Manual,First Owner,5,1248,88.50,28.09
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,Diesel,39000,Individual,Manual,First Owner,5,1396,88.73,22.54
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,Diesel,14000,Individual,Manual,First Owner,5,1396,88.73,22.54
Honda City i-VTEC CVT VX,2017,795000,Petrol,41000,Dealer,Automatic,First Owner,5,1497,117.60,18.00
Maruti Ciaz S 1.3,2017,810000,Diesel,47747,Dealer,Manual,First Owner,5,1248,88.50,28.09
Renault Lodgy Stepway 85PS RXZ 8S,2017,800000,Diesel,50000,Individual,Manual,First Owner,8,1461,83.80,21.04
Maruti Vitara Brezza ZDi,2017,813000,Diesel,110000,Individual,Manual,First Owner,5,1248,88.50,24.30
Ford EcoSport 1.5 TDCi Trend Plus BSIV,2017,800000,Diesel,60000,Individual,Manual,First Owner,5,1498,98.59,22.77
Honda WR-V i-DTEC S,2017,800000,Diesel,70000,Individual,Manual,First Owner,5,1498,98.60,25.50
Maruti Ciaz 1.4 Alpha,2017,810000,Petrol,80000,Individual,Manual,First Owner,5,1373,91.10,20.73
Honda WR-V i-VTEC VX,2017,819999,Petrol,12000,Individual,Manual,First Owner,5,1199,88.70,17.50
Honda WR-V i-VTEC VX,2017,819999,Petrol,30000,Dealer,Manual,First Owner,5,1199,88.70,17.50
